sdram_freq,cpu_cores,cpu_freq,avg_fps,total_time,mem_limit_kb
250,2,1000,0.63,22.08,262144
250,2,1000,0.63,22.15,524288
250,2,1000,0.63,22.11,1048576
250,1,1000,0.34,41.06,262144
250,1,1000,0.34,40.95,524288
250,1,1000,0.34,41.04,1048576
250,4,900,4.32,3.08,262144
250,4,900,4.37,3.05,524288
250,4,900,4.30,3.10,1048576
250,2,900,0.57,24.34,262144
250,2,900,0.57,24.31,524288
250,2,900,0.57,24.41,1048576
250,1,900,0.30,45.97,262144
250,1,900,0.30,45.75,524288
250,1,900,0.30,46.02,1048576
250,4,800,4.10,3.25,262144
250,4,800,4.10,3.25,524288
250,4,800,4.11,3.23,1048576
250,2,800,0.51,27.22,262144
250,2,800,0.51,27.15,524288
250,2,800,0.51,27.27,1048576
250,1,800,0.27,51.54,262144
250,1,800,0.27,51.64,524288
250,1,800,0.27,51.72,1048576
250,4,700,3.77,3.51,262144
250,4,700,3.79,3.49,524288
250,4,700,3.77,3.51,1048576
250,2,700,0.45,31.10,262144
250,2,700,0.45,31.02,524288
250,2,700,0.45,31.00,1048576
250,1,700,0.24,58.83,262144
250,1,700,0.24,58.86,524288
250,1,700,0.24,58.97,1048576
250,4,600,3.43,3.86,262144
250,4,600,3.43,3.85,524288
250,4,600,3.40,3.87,1048576
250,2,600,0.39,35.46,262144
250,2,600,0.39,35.56,524288
250,2,600,0.39,35.63,1048576
250,1,600,0.22,64.22,262144
250,1,600,0.22,64.21,524288
250,1,600,0.22,64.27,1048576
200,4,1400,0.88,13.97,262144
200,4,1400,1.62,7.43,524288
200,4,1400,3.05,4.46,1048576
200,2,1400,0.75,18.59,262144
200,2,1400,0.73,19.01,524288
200,2,1400,0.74,19.00,1048576
200,1,1400,0.42,33.00,262144
200,1,1400,0.42,32.93,524288
200,1,1400,0.42,32.97,1048576
200,4,1300,3.02,4.49,262144
200,4,1300,3.01,4.51,524288
200,4,1300,3.01,4.50,1048576
200,2,1300,0.70,19.81,262144
200,2,1300,0.70,19.75,524288
200,2,1300,0.71,19.74,1048576
200,1,1300,0.40,34.55,262144
200,1,1300,0.40,34.47,524288
200,1,1300,0.40,34.45,1048576
200,4,1200,2.96,4.58,262144
200,4,1200,2.92,4.64,524288
200,4,1200,2.97,4.56,1048576
200,2,1200,0.69,20.12,262144
200,2,1200,0.69,20.08,524288
200,2,1200,0.69,20.12,1048576
200,1,1200,0.38,37.05,262144
200,1,1200,0.38,37.12,524288
200,1,1200,0.39,35.57,1048576
200,4,1100,4.18,3.21,262144
200,4,1100,4.19,3.21,524288
200,4,1100,4.19,3.21,1048576
200,2,1100,0.68,20.45,262144
200,2,1100,0.68,20.43,524288
200,2,1100,0.68,20.58,1048576
200,1,1100,0.36,38.84,262144
200,1,1100,0.36,38.72,524288
200,1,1100,0.36,38.76,1048576
200,4,1000,4.05,3.31,262144
200,4,1000,4.08,3.29,524288
200,4,1000,4.08,3.29,1048576
200,2,1000,0.63,22.16,262144
200,2,1000,0.62,22.22,524288
200,2,1000,0.63,22.21,1048576
200,1,1000,0.34,41.21,262144
200,1,1000,0.34,41.27,524288
200,1,1000,0.34,41.29,1048576
200,4,900,3.92,3.41,262144
200,4,900,3.92,3.41,524288
200,4,900,3.93,3.41,1048576
200,2,900,0.57,24.40,262144
200,2,900,0.57,24.44,524288
200,2,900,0.57,24.48,1048576
200,1,900,0.30,46.35,262144
200,1,900,0.30,46.33,524288
200,1,900,0.30,46.36,1048576
200,4,800,3.73,3.57,262144
200,4,800,3.74,3.56,524288
200,4,800,3.72,3.58,1048576
200,2,800,0.51,27.48,262144
200,2,800,0.51,27.34,524288
200,2,800,0.50,27.54,1048576
200,1,800,0.27,51.86,262144
200,1,800,0.27,51.75,524288
200,1,800,0.27,51.85,1048576
200,4,700,3.52,3.78,262144
200,4,700,3.46,3.84,524288
200,4,700,3.52,3.78,1048576
200,2,700,0.45,31.12,262144
200,2,700,0.45,31.09,524288
200,2,700,0.45,31.22,1048576
200,1,700,0.24,58.91,262144
200,1,700,0.24,58.92,524288
200,1,700,0.24,59.05,1048576
200,4,600,3.17,4.24,262144
200,4,600,3.26,4.07,524288
200,4,600,3.25,4.08,1048576
200,2,600,0.39,35.58,262144
200,2,600,0.39,35.63,524288
200,2,600,0.39,35.50,1048576
200,1,600,0.22,64.43,262144
200,1,600,0.22,64.48,524288
200,1,600,0.22,64.45,1048576
