CPU_Freq,CPU_Cores,RAM_Limit_MB,Storage_Limit_MB,FPS_Avg,FPS_Min,FPS_Max,Total_Time
1000,0-1,256,256,0.21,0.00,0.35,65.44
1000,0-1,256,128,0.21,0.00,0.35,66.01
1000,0-1,256,64,0.21,0.00,0.35,65.96
1000,0,1024,256,0.10,0.00,0.17,135.35
1000,0,1024,128,0.11,0.00,0.18,132.40
1000,0,1024,64,0.10,0.00,0.17,133.64
1000,0,512,256,0.10,0.00,0.17,134.39
1000,0,512,128,0.11,0.00,0.18,130.18
1000,0,512,64,0.10,0.00,0.17,134.69
1000,0,256,256,0.10,0.00,0.17,132.50
1000,0,256,128,0.10,0.00,0.17,133.71
1000,0,256,64,0.11,0.00,0.18,131.86
900,0-3,1024,256,0.19,0.00,0.32,71.60
900,0-3,1024,128,0.19,0.00,0.32,71.39
900,0-3,1024,64,0.20,0.00,0.33,70.93
900,0-3,512,256,0.20,0.00,0.32,71.20
900,0-3,512,128,0.20,0.00,0.32,70.86
900,0-3,512,64,0.19,0.00,0.32,72.85
900,0-3,256,256,0.20,0.00,0.33,70.47
900,0-3,256,128,0.20,0.00,0.34,69.10
900,0-3,256,64,0.19,0.00,0.32,72.58
900,0-1,1024,256,0.20,0.00,0.33,69.97
900,0-1,1024,128,0.19,0.00,0.32,72.26
900,0-1,1024,64,0.20,0.00,0.32,71.08
900,0-1,512,256,0.20,0.00,0.32,71.65
900,0-1,512,128,0.19,0.00,0.32,72.50
900,0-1,512,64,0.19,0.00,0.32,72.39
900,0-1,256,256,0.19,0.00,0.32,72.05
900,0-1,256,128,0.20,0.00,0.32,71.68
900,0-1,256,64,0.19,0.00,0.32,72.92
900,0,1024,256,0.10,0.00,0.16,144.40
900,0,1024,128,0.10,0.00,0.16,143.58
900,0,1024,64,0.10,0.00,0.16,144.39
900,0,512,256,0.10,0.00,0.16,145.17
900,0,512,128,0.10,0.00,0.16,143.67
900,0,512,64,0.10,0.00,0.16,144.43
900,0,256,256,0.10,0.00,0.16,145.07
900,0,256,128,0.10,0.00,0.16,142.23
900,0,256,64,0.10,0.00,0.16,143.55
800,0-3,1024,256,0.18,0.00,0.29,77.99
800,0-3,1024,128,0.18,0.00,0.29,80.01
800,0-3,1024,64,0.17,0.00,0.29,80.19
800,0-3,512,256,0.17,0.00,0.29,80.57
800,0-3,512,128,0.18,0.00,0.30,78.63
800,0-3,512,64,0.17,0.00,0.29,80.41
800,0-3,256,256,0.17,0.00,0.29,80.45
800,0-3,256,128,0.18,0.00,0.29,79.74
800,0-3,256,64,0.18,0.00,0.29,79.84
800,0-1,1024,256,0.17,0.00,0.30,78.82
800,0-1,1024,128,0.18,0.00,0.31,77.18
800,0-1,1024,64,0.17,0.00,0.29,80.33
800,0-1,512,256,0.18,0.00,0.30,79.01
800,0-1,512,128,0.18,0.00,0.29,79.93
800,0-1,512,64,0.17,0.00,0.29,80.20
800,0-1,256,256,0.18,0.00,0.29,79.38
800,0-1,256,128,0.17,0.00,0.29,79.33
800,0-1,256,64,0.18,0.00,0.29,79.85
800,0,1024,256,0.10,0.00,0.16,146.79
800,0,1024,128,0.10,0.00,0.16,146.14
800,0,1024,64,0.10,0.00,0.16,146.44
800,0,512,256,0.10,0.00,0.16,146.04
800,0,512,128,0.10,0.00,0.16,146.70
800,0,512,64,0.10,0.00,0.16,146.71
800,0,256,256,0.10,0.00,0.16,146.19
800,0,256,128,0.10,0.00,0.16,146.52
800,0,256,64,0.09,0.00,0.16,146.93
700,0-3,1024,256,0.15,0.00,0.26,90.58
700,0-3,1024,128,0.16,0.00,0.26,88.22
700,0-3,1024,64,0.15,0.00,0.26,90.05
700,0-3,512,256,0.16,0.00,0.26,88.42
700,0-3,512,128,0.16,0.00,0.26,89.17
700,0-3,512,64,0.15,0.00,0.25,91.70
700,0-3,256,256,0.16,0.00,0.26,89.40
700,0-3,256,128,0.15,0.00,0.26,90.50
700,0-3,256,64,0.15,0.00,0.25,91.09
700,0-1,1024,256,0.16,0.00,0.26,90.07
700,0-1,1024,128,0.16,0.00,0.26,89.19
700,0-1,1024,64,0.16,0.00,0.26,89.64
700,0-1,512,256,0.16,0.00,0.26,89.41
700,0-1,512,128,0.16,0.00,0.26,89.84
700,0-1,512,64,0.16,0.00,0.26,90.00
700,0-1,256,256,0.15,0.00,0.26,89.73
700,0-1,256,128,0.16,0.00,0.26,89.07
700,0-1,256,64,0.16,0.00,0.26,88.23
700,0,1024,256,0.09,0.00,0.16,148.61
700,0,1024,128,0.09,0.00,0.16,148.31
700,0,1024,64,0.09,0.00,0.16,148.10
700,0,512,256,0.09,0.00,0.16,147.95
700,0,512,128,0.09,0.00,0.16,148.29
700,0,512,64,0.09,0.00,0.16,148.52
700,0,256,256,0.09,0.00,0.16,147.71
700,0,256,128,0.09,0.00,0.16,148.16
700,0,256,64,0.09,0.00,0.16,148.23
600,0-3,1024,256,0.13,0.00,0.22,102.85
600,0-3,1024,128,0.14,0.00,0.23,100.60
600,0-3,1024,64,0.14,0.00,0.23,100.83
600,0-3,512,256,0.13,0.00,0.22,103.20
600,0-3,512,128,0.14,0.00,0.23,100.95
600,0-3,512,64,0.14,0.00,0.23,100.95
600,0-3,256,256,0.14,0.00,0.24,99.71
600,0-3,256,128,0.14,0.00,0.23,101.50
600,0-3,256,64,0.14,0.00,0.23,101.43
600,0-1,1024,256,0.14,0.00,0.23,102.32
600,0-1,1024,128,0.14,0.00,0.23,101.73
600,0-1,1024,64,0.14,0.00,0.23,102.13
